# Substitution table for Spanish translation of the Blender Manual
#
# IMPORTANT: input strings that include other input strings
# should be placed before.
#
# WRONG:
# Up; Arriba
# PgUp; PágArriba
#
# RIGHT:
# PgUp; PágArriba
# Up; Arriba
#
# Use 'table_check.py' to check the table doesn't have this kind of errors



Numpad0;Num0
Numpad1;Num1
Numpad2;Num2
Numpad3;Num3
Numpad4;Num4
Numpad5;Num5
Numpad6;Num6
Numpad7;Num7
Numpad8;Num8
Numpad9;Num9
Numpad/;Num/
Numpad*;Num*
Numpad-;Num-
Numpad+;Num+
Numpad.;Num.
NumpadReturn;NumIntro
NumpadPlus;Num+
NumpadMinus;Num-
NumpadSlash;Num/
NumpadPeriod;Num.
AccentGrave;AcentoGrave
Backspace;Retroceso
Delete;Supr
Home;Inicio
End;Fin
PgUp;RePág
PgDn;AvPág
Shift;Mays
WheelUp;RuedaArriba
WheelDown;RuedaAbajo
Wheel;Rueda
Spacebar;Espacio
Return;Intro
Comma;,
Period;.
BackSlash;\
Slash;/
Left;Izquierda
Right;Derecha
Up;Arriba
Down;Abajo
# LMB;RatónIzq
# RMB;RatónDer
# MMB;RatónMed
